商品,销量,商品总毛利润,评价,销售情况
50g上好佳日式鱼果,6,5.2,5.68,正常
40g上好佳日式鱼果,6,5.2,5.68,正常
尖叫,6,4.9,5.56,正常
好吃点,6,4.6000000000000005,5.4399999999999995,正常
雪力矿泉水,7,2.8000000000000003,5.32,正常
丽芝士纳宝帝奶酪威化饼干,6,4.2,5.279999999999999,正常
55g奥利奥迷你杯夹心小饼干杯装原味,5,5.5,5.2,正常
燕塘红枣牛奶,5,4.5,4.8,正常
好吃点小饼干,7,1.4000000000000001,4.76,正常
83g汤达人酸辣豚骨拉面,4,5.2,4.48,正常
78g合味道杯面香菇炖鸡风味,4,4.800000000000001,4.32,正常
百事可乐500ml,5,3.0,4.2,正常
劲仔小鱼（卤香味）,5,2.4000000000000004,3.96,正常
安慕希酸奶,4,3.6,3.84,正常
红利群（硬）,2,6.0,3.6000000000000005,正常
500ml营养快线原味,3,4.5,3.5999999999999996,正常
统一阿萨姆奶茶,3,4.4,3.56,正常
乐事薯片（黄瓜味）,3,4.2,3.48,滞销
新麦潮北海道吐司,4,2.6,3.44,滞销
123gUFO炒面XO酱海鲜风味,3,3.9000000000000004,3.3600000000000003,滞销
117gUFO炒面铁板色拉鱿鱼风味,3,3.9000000000000004,3.3600000000000003,滞销
107g出前一丁桶面酱香牛肉王,3,3.6,3.24,滞销
100g卫龙点心面黑椒牛排味,3,3.48,3.192,滞销
上好佳田园薯片,3,3.2,3.08,滞销
怡宝矿泉水,4,1.6,3.04,滞销
诗竹竹纤维面巾纸,3,2.88,2.952,滞销
150抽诗竹竹纤维面巾纸,3,2.88,2.952,滞销
雪碧,3,2.8000000000000003,2.92,滞销
卫龙亲嘴烧红烧牛肉味,4,1.2000000000000002,2.88,滞销
和成天下（黄）,2,4.0,2.8,滞销
四洲粟一烧烧烤味,2,3.6,2.64,滞销
500ml康师傅冰糖雪梨,3,2.1,2.6399999999999997,滞销
34g公仔迷你杯牛肉味,3,2.1,2.6399999999999997,滞销
威化饼干,3,2.0,2.5999999999999996,滞销
无穷烤鸡小腿（蜂蜜）,3,1.8,2.52,滞销
250ml维他奶黑豆奶饮品,3,1.8,2.52,滞销
32g卫龙亲嘴烧川香味,3,1.4400000000000002,2.376,滞销
5片装益达绿箭口香糖,3,1.2000000000000002,2.28,滞销
70g乐事薯片（原味）,2,2.6,2.24,滞销
205ml安慕希蓝莓味,2,2.32,2.128,滞销
贡美苹果数据线,1,3.8000000000000003,2.12,滞销
汤达人方便面,2,2.0,2.0,滞销
农夫果园,2,1.9000000000000001,1.96,滞销
燕塘甜牛奶,2,1.8,1.92,滞销
250ml维他椰子植物蛋白饮料,2,1.6,1.84,滞销
新麦潮手撕面包（提子味）,2,1.6,1.84,滞销
乐虎,2,1.6,1.84,滞销
日式鱼果,2,1.6,1.84,滞销
250ml统一麦香奶茶,2,1.5,1.8,滞销
500ml统一冰糖雪梨,2,1.4000000000000001,1.76,滞销
维他奶（巧克力味）,2,1.4000000000000001,1.76,滞销
可乐（500ml）,2,1.2000000000000002,1.6800000000000002,滞销
汤达人桶面,2,1.2000000000000002,1.6800000000000002,滞销
旺仔牛奶,2,1.1199999999999999,1.648,滞销
可口可乐330ml（罐）,2,1.1,1.6400000000000001,滞销
冰红茶（罐）,2,1.0,1.6,滞销
250ml维他椰子味豆奶7716,2,1.0,1.6,滞销
脉动（椰子菠萝口味）,1,2.0,1.4,滞销
味之不规则饼干（韩国泡菜味）,1,2.0,1.4,滞销
50g双层百力滋特浓番茄味,1,1.8,1.32,滞销
商品2,2,0.04000000000000001,1.216,滞销
40g卫龙点心面黑椒牛排味,1,1.4000000000000001,1.1600000000000001,滞销
合味道（浓猪骨）,1,1.4000000000000001,1.1600000000000001,滞销
250ml香满楼纯牛奶,1,1.4000000000000001,1.1600000000000001,滞销
70g乐事薯片青柠味,1,1.3,1.12,滞销
多芙利香草奶油味蛋糕,1,1.2000000000000002,1.08,滞销
芦荟汁,1,1.2000000000000002,1.08,滞销
旺仔牛奶145ml,1,1.2000000000000002,1.08,滞销
小茗同学冷泡茶（乳酸菌味）,1,1.2000000000000002,1.08,滞销
500ML宝矿力,1,1.0,1.0,滞销
脉动（青柠）,1,1.0,1.0,滞销
50g双层百力滋奶咖味,1,0.9,0.96,滞销
40g乐事薯片墨西哥鸡汁番茄味,1,0.9,0.96,滞销
上好佳洋葱圈,1,0.8,0.92,滞销
盼盼手撕面包,1,0.8,0.92,滞销
250ml维他椰子植物蛋白饮料9374,1,0.8,0.92,滞销
新麦潮天然酵母面包（牛奶风味）,1,0.8,0.92,滞销
经典奶茶,1,0.8,0.92,滞销
34g公仔迷你杯风味排骨味,1,0.7000000000000001,0.88,滞销
145ml旺仔牛奶罐装,1,0.6000000000000001,0.8400000000000001,滞销
500ml恒大冰泉矿泉水,1,0.5,0.8,滞销
韩国海牌海苔,1,0.32000000000000006,0.728,滞销
手撕素肉排,1,0.26,0.704,滞销
每日特惠,1,0.2,0.6799999999999999,滞销
10g越南LIPO奶味面包干0046,1,0.2,0.6799999999999999,滞销
小糖衣血糖试纸,1,0.020000000000000004,0.608,滞销
商品1,1,0.020000000000000004,0.608,滞销
