商品,销量,商品总毛利润,评价,销售情况
可口可乐最新款,116,69.10000000000001,97.24,正常
熊字饼,112,72.0,96.0,正常
430g泰奇八宝粥,81,102.10000000000001,89.44,正常
百事可乐500ml,102,61.400000000000006,85.75999999999999,正常
雪碧330ml,103,59.7,85.68,正常
100g*5瓶益力多,42,146.6,83.84,正常
450ml美汁源果粒橙,87,77.4,83.16,正常
250ml维他奶巧克力味,95,61.02000000000001,81.408,正常
500ml统一阿萨姆奶茶,78,85.4,80.96000000000001,正常
12g劲仔小鱼麻辣味,100,49.32,79.72800000000001,正常
205g伊利安慕希原味,66,94.10000000000001,77.24000000000001,正常
600ml可口可乐,87,62.300000000000004,77.12,正常
维他奶,93,52.6,76.84,正常
32g卫龙亲嘴烧,85,45.72000000000003,69.28800000000001,正常
78g卫龙亲嘴语辣条,69,65.5,67.6,正常
维他柠檬茶,79,48.1,66.64,正常
260g马来西亚进口茱蒂丝口口香饼干,18,133.20000000000002,64.08000000000001,正常
75g新麦潮天然酵母面包（北海道牛奶风味）,68,37.7,55.879999999999995,正常
口味王槟榔（红）,31,93.0,55.8,正常
58g丽芝士纳宝帝奶酪威化饼干,62,43.7,54.67999999999999,正常
70g乖媳妇野山泡椒凤爪,61,44.1,54.24,正常
160g盼盼手撕面包,46,60.800000000000004,51.92,正常
冰糖雪梨,59,40.5,51.599999999999994,正常
2g韩国海牌海苔,65,29.179999999999986,50.672,正常
85g嘉士利果乐果香夹心饼干蓝莓味,51,45.900000000000006,48.96,正常
可口可乐（500ml）,57,36.300000000000004,48.72,正常
180g统一满汉全席台式半筋半肉牛肉面,12,99.0,46.8,正常
香脆肠,63,17.3,44.72,正常
10g卫龙亲嘴烧香辣味,61,18.720000000000002,44.088,正常
600ml雪碧,51,28.419999999999995,41.967999999999996,正常
55g奥利奥原味芝士饼干,46,34.4,41.36,正常
480ml小茗同学冷泡青柠红茶,39,44.900000000000006,41.36,正常
500ml加多宝,40,42.0,40.8,正常
150g健能酸奶原味,35,49.2,40.68000000000001,正常
45g双汇泡面拍挡,55,19.0,40.6,正常
148g富甲一方紫薯仔,34,46.800000000000004,39.120000000000005,正常
188g澳门永辉鸡仔饼,13,78.2,39.08,正常
91g徐福记凤梨酥,35,44.2,38.68000000000001,正常
600ml脉动青柠,38,37.7,37.88,正常
雀巢咖啡,33,45.0,37.8,正常
80g四洲粟一烧烧烤味,31,45.800000000000004,36.92,正常
110g顺宝九制话梅,38,34.92000000000001,36.768,正常
32g卫龙亲嘴烧红烧牛肉味,47,20.879999999999985,36.55199999999999,正常
70g乐事薯片黄瓜味,29,39.28,33.112,正常
68g好丽友巧克力派2枚,33,32.2,32.68000000000001,正常
怡宝,38,22.6,31.840000000000003,正常
50g上好佳田园薯片番茄味,32,26.8,29.92,正常
52g旺旺仙贝,31,27.900000000000002,29.759999999999998,正常
茉莉蜜茶,35,21.400000000000002,29.560000000000002,正常
250ML东鹏特饮,27,31.6,28.84,正常
65g卫龙亲嘴豆皮,29,24.3,27.119999999999997,正常
印尼芝士威化饼干,32,19.400000000000002,26.96,正常
180ml雀巢咖啡罐装,22,32.4,26.16,正常
40g呀土豆薯片滋香烤鸡味,26,25.200000000000003,25.68,正常
500ml农夫果园 (芒果+菠萝+番石榴),25,24.900000000000002,24.96,正常
225g味之不规则饼干芝士味,19,33.4,24.759999999999998,正常
无穷烤鸡小腿（蜂蜜）,22,27.0,24.0,正常
150g洽洽原香瓜子,21,28.5,24.0,正常
好吃点小饼干,35,7.0,23.8,正常
40g乐事美国经典原味,24,23.1,23.64,正常
40g呀土豆番茄酱味,23,23.1,23.04,正常
20g马来西亚风味咪咪蟹味粒0219,30,11.880000000000004,22.752000000000002,正常
40g乐事薯片黄瓜味,22,23.3,22.52,正常
370g泰奇八宝粥,20,26.200000000000003,22.480000000000004,正常
湘潭铺子(羽泉版),15,30.0,21.0,正常
咪咪虾条马来西亚风味,25,8.76,18.504,正常
250ml王老吉盒装,21,13.5,18.0,正常
48g好丽友薯愿香烤原味,18,17.8,17.92,正常
美年达（罐）,22,11.8,17.92,正常
双汇玉米热狗肠,23,10.3,17.919999999999998,正常
55g奥利奥原味夹心饼干,17,18.6,17.64,正常
阿萨姆煎茶奶绿,19,15.200000000000001,17.48,正常
80g香飘飘椰果奶茶原味,17,17.1,17.04,正常
50g马赛克手撕鱿鱼条,14,20.72,16.688000000000002,正常
椰树牌椰汁,17,15.3,16.32,正常
37.5g费列罗榛果威化巧克力3颗,10,25.6,16.240000000000002,正常
30g元朗小蛋卷,20,10.5,16.2,正常
40g上好佳日式鱼果,17,14.8,16.12,正常
250ml维他奶低糖原味,18,13.200000000000001,16.08,正常
凤爪,21,8.6,16.04,正常
145g果王迷你山楂包装,14,18.6,15.840000000000002,正常
80g马赛克香蕉片,13,19.6,15.64,正常
维他原味豆奶,17,12.600000000000001,15.24,正常
手撕素肉排,21,4.4799999999999995,14.392,正常
可乐可乐,15,13.0,14.2,正常
500ml营养快线原味,14,14.4,14.16,正常
尖叫,15,12.8,14.120000000000001,正常
70g乐事薯片（黄瓜味）,13,14.9,13.760000000000002,正常
50g上好佳日式鱼果,14,13.3,13.72,正常
70g乐事薯片原味,12,14.700000000000001,13.08,正常
咪咪,19,4.0,13.0,正常
美汁源果粒橙,13,12.8,12.920000000000002,正常
80g香飘飘椰果奶茶麦香味,13,12.600000000000001,12.84,正常
合味道（海鲜风味）,11,15.4,12.76,正常
泰奇八宝粥,11,15.100000000000001,12.64,正常
12g劲仔小鱼卤香味,16,7.2,12.48,正常
86g合味道浓猪骨味,11,14.600000000000001,12.440000000000001,正常
益力多100g*5瓶,8,18.5,12.2,正常
康师傅矿泉水,17,4.22,11.888,正常
安慕希酸奶,11,13.200000000000001,11.88,正常
40g乐事薯片墨西哥鸡汁番茄味,12,11.700000000000001,11.879999999999999,正常
500ml康师傅冰糖雪梨,13,10.100000000000001,11.84,正常
诗竹竹纤维面巾纸,12,11.519999999999998,11.808,正常
好吃点,13,10.0,11.8,正常
250ml维他奶黑豆奶饮品,12,10.8,11.52,正常
250ml统一麦香奶茶,14,7.5,11.4,正常
34g公仔迷你杯牛肉味,13,8.5,11.2,正常
乐虎（380ml）,12,9.8,11.12,正常
5片装益达绿箭口香糖,14,6.0,10.8,正常
燕塘甜牛奶,11,9.9,10.56,正常
经典奶茶,12,8.4,10.559999999999999,正常
103g康师傅红烧牛肉面,10,11.0,10.4,正常
无穷农场盐_鸡蛋,12,7.6000000000000005,10.24,正常
220g宝丰龙龟苓膏,10,10.200000000000001,10.080000000000002,正常
32g卫龙亲嘴烧川香味,12,6.480000000000001,9.792,正常
丽芝士纳宝帝奶酪威化饼干,11,7.7,9.68,正常
70g乐事薯片（原味）,9,10.100000000000001,9.440000000000001,正常
燕塘红枣牛奶,9,9.9,9.36,正常
上好佳田园薯片,10,8.1,9.24,正常
68g好丽友蛋黄派2枚,9,9.0,9.0,正常
100g果王咸柑桔罐装,8,10.4,8.96,正常
脉动（青柠）,9,8.0,8.6,正常
优益C活菌型乳酸菌饮品,5,13.440000000000001,8.376000000000001,正常
鸡爪,11,4.4,8.36,正常
乐虎,8,8.3,8.120000000000001,正常
130g果王玉带蚕豆,7,9.8,8.120000000000001,正常
天地一号,8,7.7,7.88,正常
500ML宝矿力,7,7.7,7.28,正常
健能酸奶,8,6.0,7.2,正常
卫龙亲嘴烧红烧牛肉味,8,5.4,6.96,正常
四洲粟一烧烧烤味,5,9.0,6.6,正常
劲仔小鱼（卤香味）,9,2.7,6.4799999999999995,正常
奥利奥原味芝士,7,5.6000000000000005,6.44,正常
统一阿萨姆奶茶,6,6.6000000000000005,6.24,正常
68g多力多玉米片爆香热辣味,5,8.0,6.2,正常
40g卫龙点心面黑椒牛排味,5,7.0,5.800000000000001,正常
340ml蒙牛优益C乳酸菌,5,7.0,5.800000000000001,正常
加多宝,6,5.4,5.76,正常
250ml维他椰子植物蛋白饮料,6,4.9,5.56,正常
迷你纸巾,8,1.6,5.4399999999999995,正常
78g合味道杯面香菇炖鸡风味,5,6.0,5.4,正常
芦荟汁,5,6.0,5.4,正常
雪力矿泉水,7,2.8000000000000003,5.32,滞销
100g卫龙点心面黑椒牛排味,5,5.800000000000001,5.32,滞销
205ml安慕希蓝莓味,5,5.800000000000001,5.32,滞销
480ml小茗同学冷泡溜溜哒茶,4,7.2,5.28,滞销
旺仔牛奶,6,3.9200000000000004,5.168,滞销
可口可乐330ml（罐）,6,3.1,4.84,滞销
冰红茶（罐）,6,3.0,4.8,滞销
34g公仔迷你杯风味排骨味,5,4.2,4.68,滞销
韩国海牌海苔,6,2.52,4.608,滞销
乐事薯片（黄瓜味）,4,5.2,4.48,滞销
117gUFO炒面铁板色拉鱿鱼风味,4,5.2,4.48,滞销
燕塘原味酸奶,4,4.5,4.2,滞销
劲仔小鱼（麻辣味）,5,3.0,4.2,滞销
统一来一桶香辣老坛酸菜牛肉面,4,4.4,4.16,滞销
农夫果园,4,4.1000000000000005,4.04,滞销
味之不规则饼干（芝士味）,3,5.5,4.0,滞销
珠江纯生啤酒,4,3.4000000000000004,3.7600000000000002,滞销
新麦潮天然酵母面包（牛奶风味）,4,3.2,3.68,滞销
利群（硬）,2,6.0,3.6000000000000005,滞销
维他奶（巧克力味）,4,2.8000000000000003,3.52,滞销
旺仔牛奶145ml,4,2.4000000000000004,3.3600000000000003,滞销
百事可乐330ml,4,2.1,3.24,滞销
107g出前一丁桶面酱香牛肉王,3,3.6,3.24,滞销
55g奥利奥迷你杯夹心小饼干杯装原味,3,3.3000000000000003,3.12,滞销
巧克力奶油味蛋糕,3,3.2,3.08,滞销
卫龙亲嘴烧麦辣鸡汁味,4,1.5,3.0,滞销
13g雀巢咖啡1+2特浓,3,3.0,3.0,滞销
150抽诗竹竹纤维面巾纸,3,2.88,2.952,滞销
口味王槟榔（绿色）,2,4.0,2.8,滞销
雪碧,3,2.1,2.6399999999999997,滞销
维他柠檬茶330ml（罐）,3,1.8,2.52,滞销
145ml旺仔牛奶罐装,3,1.8,2.52,滞销
乐事薯片（青柠）,2,3.2,2.4800000000000004,滞销
越南LIPO奶味面包干100g,2,3.2,2.4800000000000004,滞销
怡宝矿泉水,3,1.2000000000000002,2.28,滞销
83g汤达人酸辣豚骨拉面,2,2.6,2.24,滞销
多芙利香草奶油味蛋糕,2,2.4000000000000004,2.16,滞销
330ml伊利畅意乳酸菌草莓味,2,2.4000000000000004,2.16,滞销
日式鱼果,2,2.4000000000000004,2.16,滞销
小茗同学（青柠红茶）,2,2.1,2.04,滞销
顺宝九制梅,2,2.0,2.0,滞销
小茗同学,2,2.0,2.0,滞销
50g双层百力滋特浓番茄味,2,1.8,1.92,滞销
50g双层百力滋奶咖味,2,1.8,1.92,滞销
盼盼手撕面包,2,1.6,1.84,滞销
80g盼盼手撕面包,2,1.6,1.84,滞销
小糖衣血糖仪,3,0.06000000000000001,1.8239999999999998,滞销
500ml统一冰糖雪梨,2,1.4000000000000001,1.76,滞销
250ml香满楼纯牛奶,2,1.4000000000000001,1.76,滞销
威化饼干,2,1.4000000000000001,1.76,滞销
立体声耳机（象牙白）,1,2.4000000000000004,1.56,滞销
脉动（椰子菠萝口味）,1,2.0,1.4,滞销
和成天下（黄）,1,2.0,1.4,滞销
商品1,2,0.04000000000000001,1.216,滞销
商品2,2,0.04000000000000001,1.216,滞销
合味道（浓猪骨）,1,1.4000000000000001,1.1600000000000001,滞销
小茗同学冷泡茶（乳酸菌味）,1,1.2000000000000002,1.08,滞销
拿铁咖啡（统一）,1,1.1,1.04,滞销
90g顺宝九制杨梅,1,1.0,1.0,滞销
220g宝丰龙龟苓膏菊花味,1,1.0,1.0,滞销
康师傅拉面(袋),1,1.0,1.0,滞销
200g喜之郎/什锦果肉,1,1.0,1.0,滞销
40g上好佳田园薯片番茄味,1,0.9,0.96,滞销
12g劲仔小鱼（香辣味）,1,0.9,0.96,滞销
新麦潮手撕面包（提子味）,1,0.8,0.92,滞销
220g宝丰龙龟苓膏绿豆味,1,0.8,0.92,滞销
新麦潮北海道吐司,1,0.8,0.92,滞销
娃哈哈红枣酸奶,1,0.7000000000000001,0.88,滞销
250ml维他椰子植物蛋白饮料9374,1,0.7000000000000001,0.88,滞销
汤达人方便面,1,0.6000000000000001,0.8400000000000001,滞销
无穷烤鸡小腿,1,0.6000000000000001,0.8400000000000001,滞销
汤达人桶面,1,0.6000000000000001,0.8400000000000001,滞销
乖媳妇野山椒风爪,1,0.5599999999999999,0.824,滞销
500ml恒大冰泉矿泉水,1,0.5,0.8,滞销
20g士力架,1,0.4,0.76,滞销
每日特惠,1,0.2,0.6799999999999999,滞销
小糖衣血糖试纸,1,0.020000000000000004,0.608,滞销
商品14,1,0.020000000000000004,0.608,滞销
