商品,销量,商品总毛利润,评价,销售情况
600ml脉动青柠,41,42.300000000000004,41.519999999999996,正常
480ml小茗同学冷泡青柠红茶,37,47.300000000000004,41.120000000000005,正常
91g徐福记凤梨酥,35,48.1,40.24,正常
225g味之不规则饼干芝士味,30,55.0,40.0,正常
维他原味豆奶,39,39.2,39.08,正常
雀巢咖啡,30,50.1,38.040000000000006,正常
150g健能酸奶原味,37,39.6,38.04,正常
68g好丽友巧克力派2枚,37,39.400000000000006,37.96,正常
80g四洲粟一烧烧烤味,29,43.6,34.84,正常
统一来一桶香辣老坛酸菜牛肉面,29,41.800000000000004,34.120000000000005,正常
印尼芝士威化饼干,40,24.200000000000003,33.68,正常
20g马来西亚风味咪咪蟹味粒0219,44,16.16,32.864,正常
500ml农夫果园 (芒果+菠萝+番石榴),33,32.6,32.84,正常
无穷农场盐_鸡蛋,39,22.8,32.519999999999996,正常
双汇玉米热狗肠,39,22.400000000000002,32.36,正常
110g顺宝九制话梅,34,29.360000000000003,32.144,正常
32g卫龙亲嘴烧红烧牛肉味,37,24.839999999999996,32.135999999999996,正常
65g卫龙亲嘴豆皮,30,32.300000000000004,30.92,正常
乐虎,31,28.700000000000003,30.08,正常
45g双汇泡面拍挡,38,16.8,29.520000000000003,正常
40g乐事美国经典原味,30,28.8,29.520000000000003,正常
55g奥利奥原味夹心饼干,28,28.700000000000003,28.28,正常
48g好丽友薯愿香烤原味,27,29.200000000000003,27.880000000000003,正常
燕塘原味酸奶,29,26.1,27.84,正常
可乐可乐,29,25.1,27.439999999999998,正常
好吃点小饼干,38,7.7,25.880000000000003,正常
30g元朗小蛋卷,31,18.0,25.799999999999997,正常
148g富甲一方紫薯仔,23,29.900000000000002,25.759999999999998,正常
40g乐事薯片黄瓜味,26,25.200000000000003,25.68,正常
美汁源果粒橙,26,23.900000000000002,25.16,正常
日式鱼果,27,21.700000000000003,24.880000000000003,正常
丽芝士纳宝帝奶酪威化饼干,27,18.900000000000002,23.76,正常
诗竹竹纤维面巾纸,21,27.839999999999993,23.735999999999997,正常
370g泰奇八宝粥,22,26.200000000000003,23.68,正常
乐事薯片（黄瓜味）,19,30.200000000000003,23.480000000000004,正常
250ml统一麦香奶茶,23,23.5,23.2,正常
椰树牌椰汁,24,21.6,23.04,正常
脉动（青柠）,18,30.0,22.799999999999997,正常
250ml维他奶低糖原味,26,16.68,22.272,正常
50g上好佳日式鱼果,22,22.1,22.04,正常
500ml康师傅冰糖雪梨,24,18.2,21.68,正常
好吃点,23,19.5,21.6,正常
燕塘甜牛奶,21,21.6,21.240000000000002,正常
150g洽洽原香瓜子,18,25.700000000000003,21.08,正常
味之不规则饼干（芝士味）,15,30.0,21.0,正常
泰奇八宝粥,18,25.200000000000003,20.880000000000003,正常
180ml雀巢咖啡罐装,19,23.400000000000002,20.76,正常
劲仔小鱼（麻辣味）,21,20.3,20.72,正常
尖叫,22,18.6,20.64,正常
86g合味道浓猪骨味,20,21.400000000000002,20.560000000000002,正常
40g呀土豆薯片滋香烤鸡味,20,20.5,20.200000000000003,正常
250ML东鹏特饮,20,20.400000000000002,20.160000000000004,正常
50g上好佳田园薯片番茄味,21,18.900000000000002,20.16,正常
湘潭铺子(羽泉版),14,28.0,19.6,正常
250ml王老吉盒装,22,15.5,19.4,正常
40g上好佳日式鱼果,20,16.8,18.72,正常
奥利奥原味芝士,19,16.0,17.8,正常
70g乐事薯片黄瓜味,15,21.6,17.64,正常
燕塘红枣牛奶,16,19.8,17.52,正常
40g乐事薯片墨西哥鸡汁番茄味,17,17.400000000000002,17.16,正常
80g香飘飘椰果奶茶原味,16,18.900000000000002,17.16,正常
韩国海牌海苔,17,17.279999999999998,17.112,正常
123gUFO炒面XO酱海鲜风味,14,21.700000000000003,17.080000000000002,正常
康师傅矿泉水,24,6.02,16.808,正常
旺仔牛奶145ml,16,16.8,16.32,正常
80g香飘飘椰果奶茶麦香味,17,15.200000000000001,16.28,正常
100g果王咸柑桔罐装,14,17.900000000000002,15.560000000000002,正常
70g乐事薯片原味,14,17.6,15.440000000000001,正常
34g公仔迷你杯牛肉味,15,15.4,15.16,正常
150抽诗竹竹纤维面巾纸,15,15.359999999999998,15.143999999999998,正常
凤爪,19,9.3,15.120000000000001,正常
130g果王玉带蚕豆,12,15.62,13.448,正常
无穷烤鸡小腿（蜂蜜）,15,10.8,13.32,正常
手撕素肉排,19,4.3999999999999995,13.16,正常
250ml维他椰子植物蛋白饮料,11,16.0,13.0,正常
103g康师傅红烧牛肉面,11,15.4,12.76,正常
百事可乐500ml,15,9.3,12.72,正常
10g卫龙亲嘴烧香辣味,16,7.260000000000002,12.504000000000001,正常
统一阿萨姆奶茶,12,13.200000000000001,12.48,正常
68g好丽友蛋黄派2枚,13,11.700000000000001,12.48,正常
维他奶（巧克力味）,10,16.1,12.440000000000001,正常
旺仔牛奶,12,12.32,12.128,正常
小茗同学,12,12.0,12.0,正常
70g乐事薯片（黄瓜味）,11,13.4,11.96,正常
40g呀土豆番茄酱味,12,10.8,11.52,正常
和成天下（黄）,8,16.0,11.2,正常
维他柠檬茶330ml（罐）,13,7.800000000000001,10.92,正常
145g果王迷你山楂包装,10,11.600000000000001,10.64,正常
50g马赛克手撕鱿鱼条,8,14.4,10.56,正常
劲仔小鱼（卤香味）,13,6.300000000000001,10.32,正常
145ml旺仔牛奶罐装,11,9.0,10.2,正常
卫龙亲嘴烧红烧牛肉味,11,8.4,9.96,正常
越南LIPO奶味面包干100g,8,12.8,9.920000000000002,正常
加多宝,10,9.700000000000001,9.88,正常
12g劲仔小鱼卤香味,13,5.0,9.8,正常
上好佳田园薯片,10,8.1,9.24,正常
250ml维他椰子味豆奶7716,11,6.0,9.0,正常
83g汤达人酸辣豚骨拉面,7,10.4,8.36,正常
40g卫龙点心面黑椒牛排味,7,10.200000000000001,8.280000000000001,正常
480ml小茗同学冷泡溜溜哒茶,8,8.700000000000001,8.280000000000001,正常
农夫果园,7,9.9,8.16,正常
冰红茶（罐）,10,5.4,8.16,正常
50g双层百力滋奶咖味,8,8.1,8.04,正常
5片装益达绿箭口香糖,10,4.0,7.6,正常
雪碧,8,6.300000000000001,7.32,正常
117gUFO炒面铁板色拉鱿鱼风味,6,9.1,7.24,正常
顺宝九制梅,7,7.0,7.0,正常
迷你纸巾,10,2.0,6.8,正常
益力多100g*5瓶,4,10.100000000000001,6.440000000000001,滞销
新麦潮天然酵母面包（牛奶风味）,7,5.6000000000000005,6.44,滞销
205ml安慕希蓝莓味,5,8.12,6.247999999999999,滞销
80g马赛克香蕉片,5,7.0,5.800000000000001,滞销
50g双层百力滋特浓番茄味,6,5.4,5.76,滞销
美年达（罐）,7,3.7,5.680000000000001,滞销
乐虎（380ml）,6,5.2,5.68,滞销
68g多力多玉米片爆香热辣味,4,8.0,5.6,滞销
500ml营养快线原味,5,6.300000000000001,5.5200000000000005,滞销
盼盼手撕面包,6,4.800000000000001,5.52,滞销
小茗同学冷泡茶（乳酸菌味）,5,6.0,5.4,滞销
13g雀巢咖啡1+2特浓,5,6.0,5.4,滞销
卫龙亲嘴烧麦辣鸡汁味,6,4.5,5.3999999999999995,滞销
怡宝矿泉水,7,2.8000000000000003,5.32,滞销
四洲粟一烧烧烤味,4,7.2,5.28,滞销
107g出前一丁桶面酱香牛肉王,4,7.2,5.28,滞销
55g奥利奥迷你杯夹心小饼干杯装原味,5,5.5,5.2,滞销
32g卫龙亲嘴烧川香味,6,3.9600000000000004,5.184,滞销
珠江纯生啤酒,5,5.0,5.0,滞销
乐事薯片（青柠）,3,8.0,5.0,滞销
鸡爪,6,2.4000000000000004,4.56,滞销
34g公仔迷你杯风味排骨味,5,3.3000000000000003,4.32,滞销
78g合味道杯面香菇炖鸡风味,4,4.800000000000001,4.32,滞销
多力多滋（热辣味）,2,7.5,4.2,滞销
口味王槟榔（绿色）,3,6.0,4.2,滞销
500ML宝矿力,4,4.4,4.16,滞销
安慕希酸奶,4,4.2,4.08,滞销
220g宝丰龙龟苓膏,4,3.6,3.84,滞销
250ml香满楼纯牛奶,4,3.5,3.8,滞销
小茗同学（青柠红茶）,3,4.800000000000001,3.72,滞销
500ml统一冰糖雪梨,4,2.7,3.48,滞销
70g乐事薯片（原味）,3,3.5,3.2,滞销
40g盼盼手撕面包,4,2.0,3.2,滞销
20g咩咩世界虾味条,4,1.6,3.04,滞销
小糖衣血糖仪,5,0.1,3.04,滞销
天地一号,3,3.0,3.0,滞销
40g上好佳田园薯片番茄味,3,2.7,2.88,滞销
汤达人方便面,3,2.6,2.84,滞销
250ml维他奶黑豆奶饮品,3,1.8,2.52,滞销
乖媳妇野山椒风爪,3,1.6799999999999997,2.4719999999999995,滞销
脉动（椰子菠萝口味）,2,3.0,2.4000000000000004,滞销
可口可乐330ml（罐）,3,1.5,2.4,滞销
优益C活菌型乳酸菌饮品,2,2.8000000000000003,2.3200000000000003,滞销
330ml伊利畅意乳酸菌草莓味,2,2.4000000000000004,2.16,滞销
12g劲仔小鱼（香辣味）,3,0.9,2.1599999999999997,滞销
100g卫龙点心面黑椒牛排味,2,2.32,2.128,滞销
拿铁咖啡（统一）,2,2.2,2.08,滞销
健能酸奶,2,2.2,2.08,滞销
40g上好佳田园薯片,2,1.8,1.92,滞销
新麦潮天然酵母面包（良品铺子）,2,1.6,1.84,滞销
80g盼盼手撕面包,2,1.6,1.84,滞销
商品2,3,0.06000000000000001,1.8239999999999998,滞销
和成天下（红）,1,3.0,1.8000000000000003,滞销
利群（硬）,1,3.0,1.8000000000000003,滞销
500ml恒大冰泉矿泉水,2,1.5,1.8,滞销
维他奶黑豆奶饮品,2,1.4000000000000001,1.76,滞销
娃哈哈红枣酸奶,2,1.4000000000000001,1.76,滞销
新麦潮北海道吐司,2,1.4000000000000001,1.76,滞销
百事可乐330ml,2,1.0,1.6,滞销
雪力矿泉水,2,0.8,1.52,滞销
20g洽洽每日坚果,1,2.2,1.48,滞销
新麦潮手撕面包（提子味）,1,2.1,1.44,滞销
10g越南LIPO奶味面包干0015,2,0.5,1.4,滞销
味之不规则饼干（番茄味）,1,2.0,1.4,滞销
咪咪,2,0.4,1.3599999999999999,滞销
70g乐事薯片青柠味,1,1.6,1.2400000000000002,滞销
100g越南LIPO奶味面包干,1,1.6,1.2400000000000002,滞销
合味道（浓猪骨）,1,1.4000000000000001,1.1600000000000001,滞销
多芙利香草奶油味蛋糕,1,1.2000000000000002,1.08,滞销
芦荟汁,1,1.2000000000000002,1.08,滞销
78g卫龙亲语,1,0.9,0.96,滞销
75g达利园柠檬蛋糕,1,0.9,0.96,滞销
250ml维他椰子植物蛋白饮料9374,1,0.8,0.92,滞销
商品36,1,0.8,0.92,滞销
劲仔小鱼（香辣味）,1,0.30000000000000004,0.72,滞销
劲仔小鱼,1,0.30000000000000004,0.72,滞销
10g越南LIPO奶味面包干,1,0.2,0.6799999999999999,滞销
商品14,1,0.020000000000000004,0.608,滞销
商品21,1,0.020000000000000004,0.608,滞销
